"Airline","Status","Los_Angeles","Phoenix","San_Diego","San_Francisco","Seattle"
"ALASKA","On Time",497,221,212,503,1841
"ALASKA","Delayed",62,12,20,102,305
"AM WEST","On Time",694,4840,383,320,201
"AM WEST","Delayed",117,415,65,129,61
